sample;replic;value;variable
C_0h;1;1.851259177;chla
C_0h;2;0.933079697;chla
C_0h;3;2.056821017;chla
R_0h;1;1.269404697;chla
R_0h;2;1.539785537;chla
R_0h;3;1.464399817;chla
RP_0h;1;0.819291777;chla
RP_0h;2;1.051808537;chla
RP_0h;3;0.767485497;chla
C_24h;1;1.019081057;chla
C_24h;2;1.105033497;chla
C_24h;3;0.896389697;chla
R_24h;1;2.349851817;chla
R_24h;2;2.387960497;chla
R_24h;3;2.319717097;chla
RP_24h;1;2.496269377;chla
RP_24h;2;1.949050257;chla
RP_24h;3;2.397304217;chla
C_48h;1;0.772622097;chla
C_48h;2;1.122693617;chla
C_48h;3;0.917914497;chla
R_48h;1;1.677006137;chla
R_48h;2;1.238731857;chla
R_48h;3;1.183941457;chla
RP_48h;1;1.423502697;chla
RP_48h;2;1.009981937;chla
RP_48h;3;0.906858577;chla
C_72h;1;0.720424457;chla
C_72h;2;0.528315617;chla
C_72h;3;0.807844497;chla
R_72h;1;0.858868057;chla
R_72h;2;0.887730857;chla
R_72h;3;0.873886497;chla
RP_72h;1;0.956218857;chla
RP_72h;2;0.965611497;chla
RP_72h;3;1.076464217;chla
C_96h;1;0.529000497;chla
C_96h;2;0.672874217;chla
C_96h;3;0.679820857;chla
R_96h;1;0.689653777;chla
R_96h;2;0.803197097;chla
R_96h;3;0.663383737;chla
RP_96h;1;0.697334217;chla
RP_96h;2;0.621459297;chla
RP_96h;3;0.790037617;chla
C_120h;1;0.562804217;chla
C_120h;2;0.678108657;chla
C_120h;3;0.668373577;chla
R_120h;1;0.541328337;chla
R_120h;2;0.440357457;chla
R_120h;3;0.460757097;chla
RP_120h;1;0.509236817;chla
RP_120h;2;0.423333297;chla
RP_120h;3;0.632613057;chla
C_0h;1;3278265.1;ab
C_0h;2;3334893.1;ab
C_0h;3;3448016;ab
R_0h;1;2967585.5;ab
R_0h;2;2948116.6;ab
R_0h;3;2892142;ab
RP_0h;1;2988034.5;ab
RP_0h;2;2870483;ab
RP_0h;3;2911405.2;ab
C_24h;1;2354478.5;ab
C_24h;2;2477704.9;ab
C_24h;3;2328294.1;ab
R_24h;1;1695827.1;ab
R_24h;2;1668106;ab
R_24h;3;1637009;ab
RP_24h;1;1851723.5;ab
RP_24h;2;1744590.1;ab
RP_24h;3;1828733.5;ab
C_48h;1;1242125.5;ab
C_48h;2;1122819.5;ab
C_48h;3;1130938.6;ab
R_48h;1;481519.5;ab
R_48h;2;456472.5;ab
R_48h;3;451935;ab
RP_48h;1;748687.5;ab
RP_48h;2;851235;ab
RP_48h;3;749897.5;ab
C_72h;1;582070.5;ab
C_72h;2;595259.5;ab
C_72h;3;563073.5;ab
R_72h;1;442436.5;ab
R_72h;2;425859.5;ab
R_72h;3;452842.5;ab
RP_72h;1;698908.1;ab
RP_72h;2;711661.5;ab
RP_72h;3;706361.7;ab
C_96h;1;363847;ab
C_96h;2;602761.5;ab
C_96h;3;612744;ab
R_96h;1;622666;ab
R_96h;2;622242.5;ab
R_96h;3;641784;ab
RP_96h;1;586196.6;ab
RP_96h;2;536030;ab
RP_96h;3;591774.7;ab
C_120h;1;495374;ab
C_120h;2;496523.5;ab
C_120h;3;510257;ab
R_120h;1;563678.5;ab
R_120h;2;576202;ab
R_120h;3;809732;ab
RP_120h;1;614498.5;ab
RP_120h;2;631438.5;ab
RP_120h;3;622666;ab
C_0h;1;0.0485805;NO3
C_0h;2;0.045133047;NO3
R_0h;1;2.472249563;NO3
R_0h;2;2.452943625;NO3
RP_0h;1;2.568422502;NO3
RP_0h;2;2.572191656;NO3
C_24h;1;0.067897851;NO3
C_24h;2;0.063720929;NO3
R_24h;1;0.222165621;NO3
R_24h;2;0.197975297;NO3
RP_24h;1;0.243088109;NO3
RP_24h;2;0.335186646;NO3
C_48h;1;0.111562975;NO3
C_48h;2;0.114989176;NO3
R_48h;1;0.108457525;NO3
R_48h;2;0.127076586;NO3
RP_48h;1;0.098954174;NO3
RP_48h;2;0.066743605;NO3
C_72h;1;0.029433812;NO3
C_72h;2;0.02465843;NO3
R_72h;1;0.05053178;NO3
R_72h;2;0.004246347;NO3
RP_72h;1;0.068745901;NO3
RP_72h;2;0.038056196;NO3
C_96h;1;0.333043264;NO3
C_96h;2;0.256443999;NO3
R_96h;1;0.115682878;NO3
R_96h;2;0.094596752;NO3
RP_96h;1;0.087355127;NO3
RP_96h;2;0.134695346;NO3
C_120h;1;0.637410934;NO3
C_120h;2;0.710557837;NO3
R_120h;1;0.25516142;NO3
R_120h;2;0.19999874;NO3
RP_120h;1;0.499858887;NO3
RP_120h;2;0.363778633;NO3
C_0h;1;0.027806056;NO2
C_0h;2;0.027705048;NO2
R_0h;1;0.031656873;NO2
R_0h;2;0.018686394;NO2
RP_0h;1;0.030975971;NO2
RP_0h;2;0.009238679;NO2
C_24h;1;0.006128775;NO2
C_24h;2;0;NO2
R_24h;1;0.011108871;NO2
R_24h;2;0.025823147;NO2
RP_24h;1;0.009525874;NO2
RP_24h;2;0.032480438;NO2
C_48h;1;0;NO2
C_48h;2;0.003659796;NO2
R_48h;1;0.012666018;NO2
R_48h;2;0.018114497;NO2
RP_48h;1;0.019041799;NO2
RP_48h;2;0.032177287;NO2
C_72h;1;0.044498415;NO2
C_72h;2;0.045572856;NO2
R_72h;1;0.062575182;NO2
R_72h;2;0.052805862;NO2
RP_72h;1;0.053746819;NO2
RP_72h;2;0.040531801;NO2
C_96h;1;0.037277265;NO2
C_96h;2;0.034757705;NO2
R_96h;1;0.041082056;NO2
R_96h;2;0.038006639;NO2
RP_96h;1;0.056561273;NO2
RP_96h;2;0.034328941;NO2
C_120h;1;0.035681768;NO2
C_120h;2;0.038292615;NO2
R_120h;1;0.04607424;NO2
R_120h;2;0.077496636;NO2
RP_120h;1;0.048971184;NO2
RP_120h;2;0.076707557;NO2
C_0h;1;0.422289077;NH4
C_0h;2;0.101122299;NH4
R_0h;1;0.296484052;NH4
R_0h;2;0.881774375;NH4
RP_0h;1;0.577062505;NH4
RP_0h;2;0.174375287;NH4
C_24h;1;0.485741497;NH4
C_24h;2;0.023642554;NH4
R_24h;1;0.012978175;NH4
R_24h;2;0.030006384;NH4
RP_24h;1;0.773791;NH4
RP_24h;2;0.773790721;NH4
C_48h;1;0.692757082;NH4
C_48h;2;0.57880555;NH4
R_48h;1;0.309582334;NH4
R_48h;2;0.153362493;NH4
RP_48h;1;0.470968656;NH4
RP_48h;2;0.103671553;NH4
C_72h;1;0.219181721;NH4
C_72h;2;1.975110047;NH4
R_72h;1;1.515256022;NH4
R_72h;2;0.656702184;NH4
RP_72h;1;1.82736393;NH4
RP_72h;2;0.766752765;NH4
C_96h;1;0.616877755;NH4
C_96h;2;0.637989791;NH4
R_96h;1;1.052585615;NH4
R_96h;2;1.067747568;NH4
RP_96h;1;1.551670796;NH4
RP_96h;2;0.337265127;NH4
C_120h;1;1.4294519;NH4
C_120h;2;2.150788348;NH4
R_120h;1;1.401488138;NH4
R_120h;2;1.656389405;NH4
RP_120h;1;1.051716003;NH4
RP_120h;2;1.444970295;NH4
C_0h;1;0.062859995;PO4
C_0h;2;0.075385935;PO4
R_0h;1;0.072545543;PO4
R_0h;2;0.067827743;PO4
RP_0h;1;1.553349783;PO4
RP_0h;2;1.56128671;PO4
C_24h;1;0.084930669;PO4
