Sample,group
WP2_MESC_C_0h_R1,Control 0h
WP2_MESC_C_0h_R2,Control 0h
WP2_MESC_C_0h_R3,Control 0h
WP2_MESC_R_0h_R1,River 0h
WP2_MESC_R_0h_R2,River 0h
WP2_MESC_R_0h_R3,River 0h
WP2_MESC_R+P_0h_R1,River+P 0h
WP2_MESC_R+P_0h_R2,River+P 0h
WP2_MESC_R+P_0h_R3,River+P 0h
WP2_MESC_C_72h_R1,Control 72h
WP2_MESC_C_72h_R2,Control 72h
WP2_MESC_C_72h_R3,Control 72h
WP2_MESC_R_72h_R1,River 72h
WP2_MESC_R_72h_R2,River 72h
WP2_MESC_R_72h_R3,River 72h
WP2_MESC_R+P_72h_R1,River+P 72h
WP2_MESC_R+P_72h_R2,River+P 72h
WP2_MESC_R+P_72h_R3,River+P 72h
