no,sample,seq_sample,group,Sample,date,experiment,Eva_code
1,13,70,WP1_C_0h,WP1_MESC_C_0h_R1,17/05/2019,M1,M1-M
2,14,71,WP1_C_0h,WP1_MESC_C_0h_R2,17/05/2019,M1,M1-M
3,15,72,WP1_C_0h,WP1_MESC_C_0h_R3,17/05/2019,M1,M1-M
4,16,85,WP1_C_72h,WP1_MICR_C_72h_R1,19/05/2019,M1,M1-M EX3 C
5,17,86,WP1_C_72h,WP1_MICR_C_72h_R2,19/05/2019,M1,M1-M EX3 C
6,18,87,WP1_C_72h,WP1_MICR_C_72h_R3,19/05/2019,M1,M1-M EX3 CA
7,19,88,WP1_CA_72h,WP1_MICR_CA_72h_R1,19/05/2019,M1,M1-M EX3 CA
8,20,89,WP1_CA_72h,WP1_MICR_CA_72h_R2,19/05/2019,M1,M1-M EX3 CA
9,21,90,WP1_CA_72h,WP1_MICR_CA_72h_R3,19/05/2019,M1,M1-M EX3 CA
10,22,100,WP2_C_0h,WP2_MESC_C_0h_R1,30/05/2019,M2,M2-M
11,23,101,WP2_C_0h,WP2_MESC_C_0h_R2,30/05/2019,M2,M2-M
12,24,102,WP2_C_0h,WP2_MESC_C_0h_R3,30/05/2019,M2,M2-M
13,25,103,WP2_R_0h,WP2_MESC_R_0h_R1,30/05/2019,M2,M2R-M
14,26,104,WP2_R_0h,WP2_MESC_R_0h_R2,30/05/2019,M2,M2R-M
15,27,105,WP2_R_0h,WP2_MESC_R_0h_R3,30/05/2019,M2,M2R-M
16,28,106,WP2_R+P_0h,WP2_MESC_R+P_0h_R1,30/05/2019,M2,M2RP-M
17,29,107,WP2_R+P_0h,WP2_MESC_R+P_0h_R2,30/05/2019,M2,M2RP-M
18,30,109,WP2_C_72h,WP2_MESC_C_72h_R1,02/06/2019,M2,M2-M
19,31,110,WP2_C_72h,WP2_MESC_C_72h_R2,02/06/2019,M2,M2-M
20,32,111,WP2_C_72h,WP2_MESC_C_72h_R3,02/06/2019,M2,M2-M
21,33,112,WP2_R_72h,WP2_MESC_R_72h_R1,02/06/2019,M2,M2R-M
22,34,113,WP2_R_72h,WP2_MESC_R_72h_R2,02/06/2019,M2,M2R-M
23,35,114,WP2_R_72h,WP2_MESC_R_72h_R3,02/06/2019,M2,M2R-M
24,36,115,WP2_R+P_72h,WP2_MESC_R+P_72h_R1,02/06/2019,M2,M2RP-M
25,37,116,WP2_R+P_72h,WP2_MESC_R+P_72h_R2,02/06/2019,M2,M2RP-M
26,38,117,WP2_R+P_72h,WP2_MESC_R+P_72h_R3,02/06/2019,M2,M2RP-M
