sample,T1,seq_sample,group,Sample,date,experiment,Eva_code
44,T1task.sort.bam,70,WP1_C_0h,WP1_MESC_C_0h_R1,17/05/2019,WP1,M1-M
45,T1task.sort.bam,71,WP1_C_0h,WP1_MESC_C_0h_R2,17/05/2019,WP1,M1-M
46,T1task.sort.bam,72,WP1_C_0h,WP1_MESC_C_0h_R3,17/05/2019,WP1,M1-M
47,T1task.sort.bam,85,WP1_C_72h,WP1_MICR_C_72h_R1,19/05/2019,WP1,M1-M EX3 C
48,T1task.sort.bam,86,WP1_C_72h,WP1_MICR_C_72h_R2,19/05/2019,WP1,M1-M EX3 C
49,T1task.sort.bam,87,WP1_C_72h,WP1_MICR_C_72h_R3,19/05/2019,WP1,M1-M EX3 CA
50,T1task.sort.bam,100,WP2_C_0h,WP2_MESC_C_0h_R1,30/05/2019,WP2,M2-M
51,T1task.sort.bam,101,WP2_C_0h,WP2_MESC_C_0h_R2,30/05/2019,WP2,M2-M
52,T1task.sort.bam,102,WP2_C_0h,WP2_MESC_C_0h_R3,30/05/2019,WP2,M2-M
53,T1task.sort.bam,103,WP2_R_0h,WP2_MESC_R_0h_R1,30/05/2019,WP2,M2R-M
54,T1task.sort.bam,104,WP2_R_0h,WP2_MESC_R_0h_R2,30/05/2019,WP2,M2R-M
55,T1task.sort.bam,105,WP2_R_0h,WP2_MESC_R_0h_R3,30/05/2019,WP2,M2R-M
56,T1task.sort.bam,106,WP2_R+P_0h,WP2_MESC_R+P_0h_R1,30/05/2019,WP2,M2RP-M
57,T1task.sort.bam,107,WP2_R+P_0h,WP2_MESC_R+P_0h_R2,30/05/2019,WP2,M2RP-M
58,T1task.sort.bam,108,WP2_R+P_0h,WP2_MESC_R+P_0h_R3,30/05/2019,WP2,M2RP-M
59,T1task.sort.bam,109,WP2_C_72h,WP2_MESC_C_72h_R1,02/06/2019,WP2,M2-M
60,T1task.sort.bam,110,WP2_C_72h,WP2_MESC_C_72h_R2,02/06/2019,WP2,M2-M
61,T1task.sort.bam,111,WP2_C_72h,WP2_MESC_C_72h_R3,02/06/2019,WP2,M2-M
62,T1task.sort.bam,112,WP2_R_72h,WP2_MESC_R_72h_R1,02/06/2019,WP2,M2R-M
63,T1task.sort.bam,113,WP2_R_72h,WP2_MESC_R_72h_R2,02/06/2019,WP2,M2R-M
64,T1task.sort.bam,114,WP2_R_72h,WP2_MESC_R_72h_R3,02/06/2019,WP2,M2R-M
65,T1task.sort.bam,115,WP2_R+P_72h,WP2_MESC_R+P_72h_R1,02/06/2019,WP2,M2RP-M
66,T1task.sort.bam,116,WP2_R+P_72h,WP2_MESC_R+P_72h_R2,02/06/2019,WP2,M2RP-M
67,T1task.sort.bam,117,WP2_R+P_72h,WP2_MESC_R+P_72h_R3,02/06/2019,WP2,M2RP-M
